Department,Major,Degree,School,Course Title,Course Description,Cost
Fire/Rescue Services,Nursing,Bachelors (BA/BS),MONTGOMERY COMMUNITY COLLEGE,NUTRITION,,345.00
Fire/Rescue Services,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,CULTURAL PSYCHOLOGY,,345.00
Fire/Rescue Services,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,INTRO TO WOMEN'S STUDIES,,345.00
Fire/Rescue Services,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,HUMAN ANAT & PHYS II,,460.00
Fire/Rescue Services,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,AMERICAN GOVERNMENT,,345.00
Environmental Protection,None,Non-Degree,"GRADUATE SCHOOL, USDA",THE LIVING SOIL,"Knowledge of soils is basic to understanding plant communities and ecosystems. Examine the nature of soils and their influence on environment. Learn the structure, properties and the classification of soils and the significance of these factors to plant growth and other uses. Discover life in the soil, and study the soil groups and natural land resource areas of the Central Atlantic region",355.00
Police,Forensic Science,Masters (MA/MS/MPH/etc.),ARGOSY UNIVERSITY,SENIOR SEMINAR: INTEGRATIVE EXPERIENCE,"This seminar will include a review of a special topic in the field of forensic psychology. During the end of the 2nd year of study, the student will creat a Special Topics Paper. Students completing the Special Topics Paper review an issue related to forensic psychology that becomes the focus of their contribution to the seminar.",1830.00
Transportation,None,Certificate,MONTGOMERY COUNTY COLLEGE,HUMAN RESOURCE MANAGEMENT,,345.00
Transportation,Health & Human Services,Bachelors (BA/BS),Colorado Technical University,MANAGEMENT OF HUMAN RESOURCES ,"HRMT215
Management of Human Resources
This course examines the role and function of the Human Resource Department in the organization. It is an overview of human resource activities including job analysis, performance appraisals, recruiting, selection, compensation, and career development. Additionally, employee diversity, labor relations, organization development and equal employment opportunity will be discussed.
Credits: 4
Prerequisite: None
Availability: Colorado Springs, Denver, Denver North, Kansas City, Pueblo, Sioux Falls, Virtual Campus",610.00
Transportation,Health & Human Services,Bachelors (BA/BS),Colorado Technical University,GLOBAL HEALTH SYSTEMS,"HSS420
Global Health Systems
The rising cost of healthcare in the United States continues to be on the forefront of many political campaigns and discussions. This course will provide an overview of global health problems and national health systems to provide the student with a perspective on how societies in developed and under-developed countries approach health and health care including cultural, economic and political factors. In addition to national systems, the roles played by certain global/international systems such as the Global Health Data Exchange (GHDx), World Health Organization (WHO), certain United Nations (UN) agencies and Non-Governmental Organizations (NGOs), will be explored. The student will examine the struggles faced by healthcare leaders in managing multiple demands and pressures to contain costs while providing quality care.
Credits: 4
Prerequisite: None
Availability: Virtual Campus, Colorado Springs, Denver, Denver North, Sioux Falls",610.00
Transportation,Health & Human Services,Bachelors (BA/BS),Colorado Technical University,FISCAL MANAGEMENT IN HEALTHCARE SERVICES,"HCM410
Fiscal Management in Healthcare Services
This course introduces concepts and techniques of managerial accounting for general health services managers. Topics covered include: fiscal planning and performance, budgeting, control and reporting. Financial management in long-term care facilities, home health agencies, and hospitals are discussed.
Credits: 4
Prerequisite: ACCT201
Availability: Virtual Campus",610.00
Health & Human Services,Science Education,Bachelors (BA/BS),University of Maryland - University College,INTRODUCTION TO RESEARCH,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and ethical standards. Focus is on implementing effective strategies for finding relevant information including selecting appropriate print and electronic sources and effectively using Web search engines and UMUC Information and Library Services' electronic resources to find information and evaluating and correctly citing the information found.",266.00
Police,Linguistics,Other,International School of Languages (ISL),SPANISH LESSONS,"(24) Spanish Lessons - Reading, Writing, Comprehending and Speaking with terms useful to policing to include crimes, medical emergencies, descriptions of people, lookouts. Learning to form sentences and how to communicate useful questions in times of crisis. Past and Present tense of the above.",1200.00
Health & Human Services,Science Education,Bachelors (BA/BS),University of Maryland - University College,CONCEPTS AND APPLICATIONS OF INFORMATION TECHNOLOGY,"Access to a standard office productivity package, i.e., word processing, spreadsheet, database, and presentation software required.) A practical application of information technology for personal and professional productivity. The objective is to use technology appropriately and fluently to organize, analyze, and communicate information. Topics include hardware, software, office applications, information security and ethics, and the Internet.",798.00
Health & Human Services,Science Education,Bachelors (BA/BS),University of Maryland - University College,DIVERSITY AWARENESS,"examination of the many dimensions of diversity within the framework of modern culture and principles of social justice. The aim is to interact and communicate effectively and appropriately within a diverse society. Emphasis is on raising consciousness of diversity and using critical thinking with respect to stereotypes, prejudice, and discrimination. Discussion covers issues related to age, disability, race, religion, gender, sexual orientation, national origin, and socioeconomic status, as well as current issues in diversity studies.",766.00
Fire/Rescue Services,None,Non-Degree,UNIVERSITY OF NEW ENGLAND,MEDICAL GENERAL CHEMISTRY I,,900.00
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,LEADERSHIP STUDIES,"The Team Skills Rescue Workshop is ideal for industrial and wilderness rescue teams and is designed to review some practices from the PSRW, yet carry on into more demanding rescue practices and team-building skills. This, and the PSRW, are the seminars which fulfill the",981.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,CONSTITUTIONAL LAW,"An introduction to the structure of the U.S. Constitution and the powers, rights, and liberties it defines. Topics include judicial review; limitations on judicial power; nature of and separation of powers; federalism, including the Commerce Clause and the 10th Amendment; state action; procedural and substantive due process; and equal protection.",710.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,CRIMINAL LAW,Sources and interpretations of and constitutional limitations on substantive criminal law; criminal jurisdiction; criminal act and mental state requirements; burdens of proof; criminal capacity; justification and excuse (defense); accomplice liability; inchoate crimes; crimes against property; crimes against persons; crimes against habitation; punishment.,710.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,LAW IN CONTEXT-AMERICAN LEGAL HISTORY,"This course provides an introduction to American legal history focusing on such topics as the roots of the U.S. Constitution, the effect of changes in politics, economics, and technology on the evolution of law, the historical development of freedom of speech, the paradox of the law of slavery in a nation dedicated to liberty, the conflicting views of the relationship between religion and government, the role of the Constitution in times of war, and the changing views of the purpose of legal education.",710.00
Correction & Rehabilitation,Paralegal Studies,AA,MONTGOMERY COMMUNITY COLLEGE,INTRO TO LEGAL STUDIES,"A general perspective of the legal system and specific information about the present and potential role of the legal assistant within that system. The following topics will be studied: operation and structures of the federal and Maryland criminal and civil systems, administrative agencies, criminal justice agencies, private law firms, public sector law offices, legal clinics, and prepaid legal plans. The principles of legal ethics will be related to the present and possible future tasks, skills, and roles of the legal assistant in each legal area. (G and TP/SS only) Assessment levels: ENGL 101/101A, READ 120. Three hours lecture/discussion each week. Formerly LA 101.",345.00
Health & Human Services,Human Resources,Bachelors (BA/BS),University of Maryland - University College,ISSUES AND PROBLEMS,"A study of the role of human resource management in the strategic planning and operation of organizations, performance appraisal systems, and compensation and labor/management issues. The goal is to research and evaluate issues and present strategic solutions. The influence of federal regulations (including equal opportunity, sexual harassment, discrimination, and other employee-related regulations) is analyzed. A review of research findings, readings, discussions, case studies, and applicable federal regulations supports the critical evaluation of human resource problems.",798.00
Health & Human Services,Human Resources,Bachelors (BA/BS),University of Maryland - University College,THE TOTAL REWARDS APPROACH TO COMPENSATION MANAGEMENT,"An exploration of alternative compensation philosophies that define total rewards as everything that employees value in the employment relationship. The objective is to design a total rewards program that ensures organizational success. Topics include building and communicating a total rewards strategy, compensation fundamentals, the conduct and documentation of a job analysis, linking pay to performance, employee motivation, and performance appraisal. Strategies such as incentive cash and/or stock compensation programs, employee ownership, benefits and nonmonetary rewards are discussed and evaluated. The interrelationships among compensation, motivation, performance appraisal, and performance within the organization are examined. Discussion also covers the design and implementation of a total rewards program, including organizational compatibility.",117.00
Health & Human Services,None,Non-Degree,Society for Human Resource Management,SHRM SCP OVERVIEW,"Preparation course on all the areas of HR that includes OSHA, Workplace Safety, Talent Acquistion and Retention and updated laws on all the new labor laws.",1395.00
Health & Human Services,None,Non-Degree,Society for Human Resource Management,EEOC BALTIMORE AREA SEMINAR,Review of EEO process from the EEOC commission,0.00
Health & Human Services,None,Non-Degree,CORNELL UNIVERSITY,INTEGRATED TALENT MANAGEMENT: ALIGNING TALENT WITH ORGANIZATIONAL DEMANDS,"As the need for talent management continues to grow and change rapidly in an unpredictable economy, organizations are faced with challenges focused on leadership development and talent management process to ensure that right leadership capabilities for the present and uncertain future. Organizations are developing objectives focused on growth and bolstering both top and bottom-line performance and it is leaderships responsibility to implement talent stratgies that not only support these objectives but are strongly aligned to ensure success.",1695.75
Police,Not Listed,Other,VEHICLE DYNAMICS INSTITUTE (VDI),PROTECTIVE/EVASIVE DRIVING RECERTIFICATION,Behind-the-wheel skills and learn the latest in advanced driving and emergency maneuvers.,1225.00
Transportation,English Language and Literature,Bachelors (BA/BS),University of Maryland - University College,ENGLISH 303 CRITICAL APPROACH TO LITERATURE,"A study of the techniques of literary criticism, emphasizing close reading, critical thinking, and critical writing. The goal is to apply a variety of theoretical approaches to literature, analyze texts, and create professional written communications",798.00
Human Resources,Human Resources,Certificate,HR Certification,DEFINED BENEFIT PLAN TRAINING AND CERTIFICATION PROGRAM,"Learn what documentation is required to implement and Administer the plans, understand and comply with non-discrimination rules and perform non-discrimination test.",499.00
Transportation,English Language and Literature,Bachelors (BA/BS),University of Maryland - University College,ENGLISH 309,"An overview of British medieval literature within its historical context. The aim is to analyze literary works in their sociohistorical contexts, interpret medieval literary works, and apply research and writing skills to new concepts and information. Topics include major works, authors, and genres from c. 500 to 1500 AD, with an emphasis on early English works such as Beowulf, Sir Gawain and the Green Knight, and the Booke of Margery Kempe, among others.",798.00
Fire/Rescue Services,General Studies,AA,Howard Community College,COLLEGE ALGEBRA,,624.00
Police,Social Work,Certificate,FREDERICK COMMUNITY COLLEGE,STRESS MANAGEMENT,A wellness course designed to aid students in understanding the nature and sources of stress. Stress management coping strategies and relaxation techniques will introduced,456.35
State's Attorney,None,Non-Degree,LEADERSHIP MONTGOMERY,LEADERSHIP MONTGOMERY ,"Leadership Montgomery Core Program is nine month course that provides intensive hands-on study and in-depth discussion of issues and challenges facing the county including communities, transportation, education, public safety, business, planning, economic development, diversity and the arts. Participants will be better equipped to effect positive change because they gain a greater understanding of the unique forces that make up the County.",1830.00
Correction & Rehabilitation,Marketing (Business) ,Masters (MA/MS/MPH/etc.),University of Maryland - University College,MRKT 601,Legal & Ethical Issues in Global Communications,1350.00
Correction & Rehabilitation,Marketing (Business) ,Masters (MA/MS/MPH/etc.),University of Maryland - University College,MRKT 602,Consumer Behavior,480.00
Correction & Rehabilitation,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore County,SOWK 631 SOCIAL WORK PRACTICE W/COMMUNITY & ORG.,Social work PRACTICE W/community & ORG. Social worker students will be participating in field placement practices in the community.,915.00
Fire/Rescue Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTRODUCTION TO HEALTHCARE ADMINISTRATION,,1374.00
Fire/Rescue Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNICATION & LEADERSHIP,,456.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,PUBLIC SAFETY PRACTICES,"An investigation of contemporary strategic public safety practices. The goal is to apply the concepts of hazard and risk identification and management, quality control methodology, customer service, integrated public safety services, and public and private partnerships to public service administration decision making. Discussion covers hazard and risk analysis, customer service awareness (including expectations and demands), quality control methodology (including industry standards and accreditation), integrated public services, best practices, and public/private partnerships.",798.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,WRTG  391 - ADVANCED RESEARCH WRITING,"(Fulfills the general education requirement in upper-level advanced writing.) Prerequisite: WRTG 101 or WRTG 101S. Instruction and practice in academic research skills. The objective is to critically analyze scholarly sources and effectively integrate source material into a complex argument. Assignments include prewriting exercises, a critique, a critical annotated bibliography, a literature review, and a statement of proposed research. Students may receive credit for only one of the following courses: ENGL 391, ENGL 391X, WRTG 391, or WRTG 391X.",798.00
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,ADMINISTRATION OF JUSTICE,Adminstration of Justice CJUS 520,1500.00
Human Resources,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,HR MANAGEMENT,"Examines the theoretical foundation of the human resource management field and the evolution of human resource management, labor and law, including human capital. Trends and issues influencing the development and application of these elements within contemporary organizations will be analyzed. Awareness of the effects of regulation on businesses will be explored.",1830.00
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,TEAM SKILLS RESCUE WORKSHOP,This is an advanced rope rescue class.,1050.00
Investment Trustees,Finance (Business),Certificate,University of Chicago,ILPA INSTITUTE LEVEL I,"The ILPA program is designed to provide education an investment staff member in the areas of investing in private equity, including due diligence and valuation, fund structure, governance, limit partnerships, private equity reporting and accounting, etc.",1830.00
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,"ENME 462 VIBRATIONS, CONTROLS, AND OPTIMIZATION (2)","Fundamentals of vibration, controls, and optimization. Analysis and design in time, Laplace and frequency domains. Mathematical descriptions of system response, system stability, control and optimization. Optimal design of mechanical systems.",951.51
Correction & Rehabilitation,Mechanical Engineering,Bachelors (BA/BS),University of Maryland - College Park,ENME 472 INTEGRATED PRODUCT AND PROCESSING DEVELOPMENT,Integration of product development with the development process. Design strategies. Product architecture. Design for manufacturing. Selection of materials. Design for assembly.,878.49
Transportation,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - University College,CYBER SECURITY AND INFORMATION PROTECTION ,"CSEC620 Human aspects in cybersecurity, including ethics, legal issues, and psychology",1830.00
State's Attorney,English Language and Literature,Other,MONTGOMERY COMMUNITY COLLEGE,ENGLISH,reading and Writing level 4,485.00
State's Attorney,English Language and Literature,Other,MONTGOMERY COMMUNITY COLLEGE,KEYBOARDING FUNDAMENTALS ,to learn correct keybording techniques and improve typing speed.,107.00
Police,Computer Science,AA,FREDERICK COMMUNITY COLLEGE,CMIS - PC REPAIR & DIAGNOSTICS,Introduces diagnosis and troubleshooting of personal computers.  Pre-req for cybersecurity,475.02
Police,Paralegal Studies,Certificate,LIBERTY UNIVERSITY,INTRODUCTION TO PARALEGAL STUDIES,"This course provides students with a basic overview of the American legal system and the profession of a paralegal. In this introductory course, topics covered will include the legal system in America; civil and criminal litigation and procedure; the appeals process; legal ethics, professionalism, and biblical worldview; and substantive legal topics including Torts, Contract Law, Criminal Law, and Property Law. Additionally, law office practice including legal research, legal vocabulary, critical reading and writing, client interviews, investigation, law office administration, and technologies will be covered.",933.75
Fire/Rescue Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTRODUCTION TO HEALTHCARE ADMINISTRATION,,1374.00
Fire/Rescue Services,Health & Human Services,Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNITY LEADERSHIP,,456.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),AMERICAN MILITARY UNIVERSITY,MANAGEMENT 310,Principles and theorys of Management,800.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",MANAGEMENT 615 INTERCULTURAL COMMUNICATION AND LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices, as well as to organizational communication across cultural groups. Team development and leadership are explored in an intercultural environment.",1419.00
Police,Not Listed,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",HOMELAND SECURITY MANAGEMENT 625 CRITICAL INFRUSTRUCTURE,"An introduction to critical infrastructure assurance as a policy field. Review covers the concept of critical infrastructures and their interdependencies. Topics include the development of modern critical infrastructures, the reasons why they have become central elements of 21st century societies, efforts being made to safeguard them, and potential threats to their continued effective operation.",311.00
Health & Human Services,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERMEDIATE ACCOUNTING I,A comprehensive analysis of financial accounting topics involved in preparing financial statements for external reporting. The objective is to identify and analyze complex business transactions and their impact on financial statements.,798.00
Health & Human Services,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERMEDIATE ACCOUNTING II,A comprehensive analysis of financial accounting topics involved in preparing financial statements for external reporting. The objective is to identify and analyze complex business transactions and their impact on financial statements.,798.00
Police,Paralegal Studies,Certificate,LIBERTY UNIVERSITY,FOUNDATIONS OF LAW,"An introduction to the theological and philosophical foundations of law, including the Augustinian concept of antithetical thinking; the Creator/creature distinction; the development of higher/natural law thinking; the basis for the distinction between the judicial and prudential methods of analysis; the origins and jurisdictional boundaries of family, church, and state; the schools of jurisprudence; and the biblical basis for the fundamental principles underlying the several courses that comprise the basic curriculum.",896.25
Health & Human Services,Community Health,Other,MORGAN STATE UNIVERSITY,PUBH-770 SCIENTIFIC WRITING IN PUBLIC HEALTH,Scientific writing course that focuses on thesis and dissertation writing for students in the process.,371.00
Health & Human Services,None,Non-Degree,PESI HEALTHCARE LLC,PSYCHOPHARMOCOLOGY,The course discusses the latest information on medications used in the treatment of psychiatric conditions.,349.99
Police,Criminal Justice,Other,"JOHN E. REID AND ASSOCIATES, INC.",INTERVIEWING AND INTERROGATION,"Course Objectives will include: interview and interrogation preparation, distinction between an interview and interrogation, proper room environment, factors affecting a subject's behavior, behavior symptom analysis and the Reid nine steps of interrogation.",770.00
Transportation,Computer Science,Bachelors (BA/BS),University of Maryland - University College,CONCEPTS & APPS OF INFO TECH,"A practical application of information technology for personal and professional productivity. The objective is to use technology appropriately and fluently to organize, analyze, and communicate information. Topics include hardware, software, office applications, information security and ethics, and the Internet.",915.00
Environmental Protection,"Environmental, Educational and Park Management",Masters (MA/MS/MPH/etc.),University of Maryland - University College,ENVM650-9040 ENVIRONMENTAL AND NATURAL RESOURCES ECONOMICS,"An introduction to the development of multiple-use resource management strategies and the role of public policy in land and water resource management. Topics include free markets, market failure, and distributional equity issues; The Public Trust Doctrine; Native American Trust responsibilities; land use regulations; and enforcement of land and water restrictions, ex post liability schemes, and public purchase of private land and water rights.",1374.00
Police,Spanish Language and Literature,Certificate,BERLITZ LANGUAGE CENTER,ONE-ON-ONE SPANISH,"Spanish instruction through reading, writing, and conversational applications to improve language ability.",1677.58
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,"HRMN 300, HUMAN RESOURCE MANAGEMENT (",A basic study of the strategic role of human resources management,798.00
Health & Human Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,MARKETING PRINCIPLES,A foundation in the principles of marketing used to manage profitable customer relations,798.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,WRTG 101 - INTRODUCTION TO WRITING,"Satisfactory performance on a placement test or EDCP 103. Practice in effective writing and clear thinking at all levels, including the sentence and paragraph, with emphasis on the essay and research report. The objective is to apply specific steps within the writing process, including formulating purpose, identifying an audience, and selecting and using research resources and methods of development. Revision and recursive writing practice are emphasized and encouraged. Assignments include comparison-contrast and research essays, as well as other rhetorical tasks",800.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,LIBS 150 - INTRODUCTION TO RESEARCH,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and ethical standards. Focus is on implementing effective strategies for finding relevant information including selecting appropriate print and electronic sources and effectively using Web search engines and UMUC Information and Library Services' electronic resources to find information and evaluating and correctly citing the information found",800.00
Police,Health & Human Services,Certificate,FREDERICK COMMUNITY COLLEGE,INTO TO SOCIAL WORK AND THE HUMAN SERVICES,Surveys the philosophies of the field of social work and of the human services by examining the historical and theoretical approach to human services. Emphasis is placed on the concept of human diversity and the impact of oppression and discrimination.,463.50
Fire/Rescue Services,None,Certificate,"B D ASSOCIATES, INC.",BLUE CARD CERTIFICATION,,385.00
Fire/Rescue Services,Public Safety,Bachelors (BA/BS),University of Maryland - University College,IFSM 201- CONCEPTS AND APPLICATIONS OF INFORMATION TECHNOLOGY,"Access to a standard office productivity package, i.e., word processing, spreadsheet, database, and presentation software required.) A practical application of information technology for personal and professional productivity. The objective is to use technology appropriately and fluently to organize, analyze, and communicate information. Topics include hardware, software, office applications, information security and ethics, and the Internet",230.00
Police,Business/Admin./Mgmt.,AA,ANNE ARUNDEL COMMUNITY COLLEGE,COMPUTING AND INFORMATION TECHNOLOGY,"Learn computing and information technology concepts and skills that are fundamental to social, personal, business and academic environments. Learn about the Internet, networking, hardware, software, security, privacy, ethics and emerging technologies. Participate in hands-on labs using Microsoft Windows and the Microsoft Office applications which include word processing, spreadsheets, databases, and presentations.",408.00
Police,Business/Admin./Mgmt.,AA,ANNE ARUNDEL COMMUNITY COLLEGE,THE NATURE OF MATHEMATICS,"Encounter mathematical reasoning through an exposure to inductive methods, problem-solving techniques and the organization of information to discover patterns. Explore geometric topics and the connections between mathematics and the arts and sciences. Study topics such as sequences, topology, computers, fractals and introductory probability and statistics.",306.00
Police,Criminal Justice,Bachelors (BA/BS),PENNSYLVANIA STATE UNIVERSITY,ETHICS AND INTEGRITY,Criminal Justice 465 - Ethics in Criminal Justice,1730.00
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,ACCT 215 MICRO ACCOUNTING APPLICATIONS,"Provides extensive hands on exposure to Microsoft (MS) Excel - an industry standard spreadsheet program. This course covers constructing a worksheet, entering and manipulating data, extracting useful information, and using MS Excel functions and formulas with emphasis on accounting as a financial analysis tool. Two-thirds of the course covers MS Excel. The remainder of the course addresses commercial accounting software packages, such as QuickBooks/Peachtree, as well as Internet topics.",714.81
Fire/Rescue Services,Accounting (Business),AA,Harrisburg Area Community College - Harrisburg,MGMT 204 - HUMAN RELATIONS IN BUSINESS,"Introduces students to the psychological and sociological aspects of human relations as they relate to management situations and organizational performance. This course allows students to develop skills in managing human behavior in organizations in such areas as: effective leadership, teambuilding, human motivation, managing change and conflict, technology, ethics, interpersonal and intergroup communication, and managing cultural diversity.",714.81
Police,Computer Systems Management,Bachelors (BA/BS),University of Maryland Global Campus,PACE 111T PROGRAM AND CAREER EXPLORATION IN TECHNOLOGY,"An orientation to UMGC and exploration of how UMGC academic programs align to professional goals and career options. Focus is on developing and practicing commu�nication, teamwork, professionalism, and integrity skills while exploring ways to develop and enhance career opportunities.",954.00
Transportation,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),University of Maryland - University College,DMBA 630 MARKETING & STRATEGY MANAGEMENT,"Prerequisite: DMBA 620. An investigation of marketing and strategy and how they lead to value creation and value capture in different business contexts. Discussion covers marketing strategy and customer orientation in the context of strategic frameworks for industry analysis and achievement of sustainable competitive advantage. Global business and technology environments are assessed to determine strategic options for growth and profitability, leading to specific marketing plans and strategic decisions. Examples from personal work situations are applied to the concepts of both marketing and strategy management. 6 Credits",1830.00
Technology Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,BUSINESS FINANCE,"An overview of the theory, principles, and practices of financial management in a business environment. Topics include financial analysis and financial risk, characteristics and valuations of securities, capital investment analysis and decision making, the capital structure of the firm, financial leverage, and international finance. The aim is to examine financial information, identify issues and solve business problems, and make sound business decisions. Emphasis is on the application of financial theory and methods for solving the problems of financial policy that managers face.",798.00
Technology Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,HUMAN RESOURCES MANAGEMENT,"A basic study of the strategic role of human resource management. The objective is to apply knowledge of human behavior, labor relations, and current laws and regulations to a working environment. Topics include employment laws and regulations, diversity in a global economy, total rewards management, and training and development for organizational success.",798.00
Transportation,Electrical Engineering,Certificate,FREDERICK COMMUNITY COLLEGE,ELECTRICITY,Commercial Electrical Application,456.00
Health & Human Services,Sociology,Bachelors (BA/BS),University of Maryland - University College,ALCOHOL IN U.S. SOCIETY,Alcohol and its affect in US society,798.00
Police,Law,Juris Doctor,UNIVERSITY OF BALTIMORE,LEGAL RESEARCH WORKSHOP,Actual hours are Wednesday 9:00-11:45am. Course will fulful one of my upper level writing requirements at the law school.,1730.00
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,CMRJ500 CRIMINAL JUSTICE ETHICS,Ethics for the criminal justice professional,975.00
Police,Business/Admin./Mgmt.,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",ORGAZATIONAL COMMUNICATION,"A study of the structure of communication in organizations. The goal is to apply theory and examples to improve managerial effectiveness in communication and negotiation. Problems, issues, and techniques of organizational communication are analyzed through case histories, exercises, and projects. Students may receive credit for only one of the following courses: BMGT 398N, HRMN 302, MGMT 320, MGST 315, or TEMN 315.",843.00
Liquor Control,Human Resources,Bachelors (BA/BS),University of Maryland - University College,BMGT 364 - MANAGEMENT AND ORG THEORY,"Recommended: BMGT 110. An examination of the four functions of management--planning, organizing, leading, and controlling--with emphasis on the application of management concepts and theories to achieve organizational goals. The aim is to develop strategies, goals, and objectives to enhance performance and sustainability. Topics include ethics, social responsibility, globalization, and change and innovation. Students may receive credit for only one of the following courses: BMGT 364, TEMN 202, TEMN 300, TMGT 301, or TMGT 302.",0.00
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),ASHWORTH COLLEGE,MCJ ORIENTATION - MJ600,"This Orientation concludes with an overview of the field of criminal justice by identifying and discussing important areas such as the procedures for arresting, trying, sentencing, and
incarcerating the perpetrator, and reviewing the criminal justice system.",410.00
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),ASHWORTH COLLEGE,MJ601 SURVEY OF CRIMINAL JUSTICE,"This course presents an advanced overview of the organization and operation of the criminal
justice system in the United States as well as discuss The purpose and function of the system in apprehending offenders, the prosecution of offenders, and the punishment of offenders are reviewed.",410.00
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),ASHWORTH COLLEGE,MJ650 CRIMINAL LAW AND PROCEDURE,"In this course, current critical issues in criminal law and procedure are addressed. Emphasis is placed on the significance of recent judicial decisions to criminal law and procedure. The
principles of criminal law and procedure are examined, including the general principles of
substantive criminal law, due process requirements, punishments, criminal responsibility, and the procedural requirements for judicial processing of criminal offenders.",410.00
Transportation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,ORIENTATION TO GRADUATE STUDIES AT UMUC,An introduction to the skills and techniques needed to successfully complete a graduate program at UMUC and handle the scholarly challenges encountered in graduate school and beyond. Focus is on developing a skills,915.00
Transportation,Accounting (Business),Masters (MA/MS/MPH/etc.),University of Maryland - University College,AMBA600,"An overview of fundamental management concepts across a broad spectrum of subject areas. Topics include the online environment and technologies used in the MBA program; academic requirements; research, writing, and analytical skills; plagiarism issues; and basic management concepts. Assignments focus on statistics and the theory of constraints. Exercises improve skills in the areas of research, writing, critical thinking, and teamwork.",915.00
Correction & Rehabilitation,Social Work,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SOCIAL WORK AND THE LAW,social work and the law.,915.00
Transportation,Computer Science,Bachelors (BA/BS),University of Maryland - University College,ADVANCED BUSINESS WRITING,"A comprehensive, project-based study of applied business writing. The aim is to develop documents appropriate to audience and purpose that are well argued and conform to standards to business writing. Topics include context, purpose, audience, style, organization, format, results, technologies, and strategies for persuasion in typical workplace messages.",915.00
Recreation,None,Non-Degree,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ENGLISH WRITING/ENGLISH 101,Introduction to College English Writing. Students write in response to reading and are introduced to standard documentation procedures. Students are required to submit a final portafolio that meets the department requirements. Students writing progresses from a personal to an academic perspective.,575.00
Libraries,English Language and Literature,Bachelors (BA/BS),UNIVERSITY OF PHOENIX,GENERAL STUDIES 127 - UNIVERSAL STUDIES FOR SUCCESS,Same reason as explained in original request for tuition assistance.,1078.35
